MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,100ppb_1,250ppb_1,500ppb_1,1000ppb_1,10ppb_2,100ppb_2,500ppb_2,1000ppb_2,250ppb_2,250ppb_3,250ppb_4,m/z,Retention Time,Mass,Ionization mode
105,1,1,152.36598,1,1,1,1,1,1,1,1,1,1,1,136.16449,1,1,1,1,1,1,1,1,1,1,1,121.050415,110.21726,1,1,1,1,1,1,1,1,1,1,123.621635,1,1,826.0924,953.834,841.45636,591.5137,368.70703,427.99203,615.0429,1,826.7465,368.70703,427.99203,1,826.7465,602.7647,542.5044,429.00854,146.9382679,1.2173314,147.9455439,Esi-
44,178.6235,190.50905,228.14157,205.47614,221.69977,2595.077,3389.6267,3315.8967,2307.1626,3075.424,3128.933,2839.5837,3398.253,3616.7773,2502.6755,2992.4202,2931.5146,2426.8242,2596.68,3001.9163,3820.6406,4734.5176,4200.3535,3342.8645,4060.6572,3813.0994,947.95667,1096.3586,1088.9647,3147.28,3623.8557,3216.6145,2810.5469,3348.6724,3029.5547,3549.7007,3259.33,3489.2253,950.69244,1066.1865,979.61456,1428.772,1658.9172,1851.5947,1562.4973,103.40213,1,191.76688,164.61867,162.09595,103.40213,1,164.61867,162.09595,230.16577,271.1655,248.85643,146.9608296,0.8261964,147.9681056,Esi-
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,401.38702,449.80502,480.4415,377.05692,1,1,1,1,1,1,1,1,1,1,1,1,148.9497714,0.8172273,149.9570474,Esi-
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128.24878,1,1,505.6167,1,1,1,1,1,1,1,1,1,1,1,1,149.0087138,0.9386426,150.0159898,Esi-
518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,310.45813,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,149.0239125,8.376483,150.0311885,Esi-
162,1,1,1,1,1,1,1,1,219.3267,1,1,184.33391,1,1,1,1,1,1,1,142.20024,226.30841,1,251.49358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,149.0239273,4.8495483,150.0312033,Esi-
322,1,1,1,1,1,657.0901,807.92847,840.91046,1,663.8731,760.324,830.5253,919.73206,952.43805,1,1,1,1,176.7938,168.62347,305.18912,1,1,1,252.06984,1,1,1,1,1516.1233,1531.8248,1405.8577,1264.2998,1365.4369,1284.6978,1189.5385,1210.5626,1069.5883,1,1,1,1,1,1,508.92194,1,1,1,1,1,1,1,1,1,1,1,1,150.0014021,7.054228,151.0086781,Esi-
114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1918.7397,2252.1375,2267.8508,1994.5382,1,97.67784,431.1375,1031.2462,1993.9435,1,97.67784,1031.2462,1993.9435,340.9958,1,505.3294,150.0554921,2.8803227,151.0627681,Esi-
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,234.7711,237.86833,258.62262,241.30807,1,1,1,1,1,1,1,1,1,1,1,1,150.9477028,0.814049,151.9549788,Esi-
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,243.57379,340.07117,242.5132,1,1,1,1,1,1,1,1,1,1,1,1,150.9822446,0.93900305,151.9895206,Esi-
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,133.85104,1,1,1,125.74529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,151.0393975,4.4274735,152.0466735,Esi-
