# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C28H41N11O7S,1,1,1,19328,38626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25743,1,1,1,1,1,19454,1,1,34752,1,1,29576,1,1,1,1,1,27718,1,1,31178,35873,49442,18878,1,1,30317,30578,36499,1,,"C28H41N11O7S [ C28 H41 N11 O7 S, tgt=, overall=58.40, db=58.40 ]",,,C28H41N11O7S,FindByFormula,C28 H41 N11 O7 S,51,,675.2884,"(674.2858, 2963.85)(675.2884, 1278.64)",15.2789955
C12H16FN5O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27118,39919,1,1,1,1,1,1,1,32023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C12H16FN5O2 [ C12 H16 F N5 O2, tgt=, overall=81.55, db=81.55 ]",,,C12H16FN5O2,FindByFormula,C12 H16 F N5 O2,51,,281.1294,"(280.1222, 3841.57)(281.1259, 664.65)",7.2430015
C17H34O5Si,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19930,1,1,37690,29056,27621,32524,17028,1,17786,1,1,1,1,1,1,1,1,1,1,1,1,,"C17H34O5Si [ C17 H34 O5 Si, tgt=, overall=74.84, db=74.84 ]",,,C17H34O5Si,FindByFormula,C17 H34 O5 Si,51,,346.2187,"(345.2108, 4019.67)(346.2137, 980.48)",11.433003
C23H22F7N4O6P,1,1,1,35380,37489,34505,37039,40743,35981,32925,34546,18372,32487,26570,37495,34571,27077,40849,34497,38663,22677,31314,1,26411,34148,32727,32871,1,1,37986,17817,1,1,30700,34637,1,29291,34702,28786,9513,1,1,1,1,1,1,1,1,1,30600,29158,,"C23H22F7N4O6P [ C23 H22 F7 N4 O6 P, tgt=, overall=77.61, db=77.61 ]",,,C23H22F7N4O6P,FindByFormula,C23 H22 F7 N4 O6 P,51,,614.1217,"(613.1099, 3084.88)(614.1141, 660.85)",8.740998
C6HCl3N2S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33774,31940,30814,1,32666,33335,33332,1,27087,37389,20238,30287,29828,29070,22014,40635,31066,1,1,1,1,1,1,1,,"C6HCl3N2S [ C6 H Cl3 N2 S, tgt=, overall=56.36, db=56.36 ]",,,C6HCl3N2S,FindByFormula,C6 H Cl3 N2 S,47,,237.8934,"(236.886, 4888.37)(237.889, 1003.27)",0.94800055
C16H20NO,1,1,1,60606,38386,60196,57672,31512,53711,49180,28735,50819,55472,45057,45581,39821,69585,48476,38434,21095,42396,35389,43734,57669,35550,40093,39046,51158,42141,1,1,26286,1,1,21627,91727,1,40867,1,51679,71716,39986,79373,29809,93584,32184,46207,94633,110326,31141,33500,,"C16H20NO [ C16 H20 N O, tgt=, overall=84.65, db=84.65 ]",,,C16H20NO,FindByFormula,C16 H20 N O,51,,242.1543,"(241.1466, 8846.3)(242.1506, 1343.5)",9.239997
C27H52O4 12.892006,1,1,1,1,1,19771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26471,1,22490,1,1,25190,19158,1,1,23036,33014,20643,1,1,15059,19703,27438,36288,1,1,1,1,1,1,,"C27H52O4 [ C27 H52 O4, tgt=, overall=43.95, db=43.95 ]",,,C27H52O4 12.892006,FindByFormula,C27 H52 O4,50,,440.3939,"(439.3843, 3592.45)(440.3876, 1213.4)",12.892006
C16H20NO 8.618997,1,1,1,20363,23391,1,1,1,17210,1,1,1,1,1,1,1,34881,23273,1,16845,17398,1,19275,1,1,23209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21559,17726,1,1,21483,24205,30290,20233,1,1,,"C16H20NO [ C16 H20 N O, tgt=, overall=78.36, db=78.36 ]",,,C16H20NO 8.618997,FindByFormula,C16 H20 N O,51,,242.1533,"(241.1466, 4041.86)(242.1506, 481.06)",8.618997
587.5089@13.696001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27848,51110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19011,,,,,587.5089@13.696001,FindByFormula,,51,,587.5089,"(586.5013, 2372.07)(587.5045, 1050.11)",13.696001
C16H33N2O2P,1,1,1,94098,87430,117080,103733,64356,119023,97550,71631,96720,96979,90346,73336,90889,148815,81167,108582,55243,121052,98055,134231,136834,84533,88721,76531,173384,22585,35292,1,32792,20166,37111,61717,214966,24430,61322,29009,131412,164890,27152,21595,44055,31628,29065,20148,42463,30134,24527,142643,,"C16H33N2O2P [ C16 H33 N2 O2 P, tgt=, overall=85.95, db=85.95 ]",,,C16H33N2O2P,FindByFormula,C16 H33 N2 O2 P,51,,316.2287,"(315.2211, 21195.4)(316.2245, 3826.64)",10.321007
C28H19BrN2O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33599,36062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24732,19721,31091,1,1,1,,"C28H19BrN2O4 [ C28 H19 Br N2 O4, tgt=, overall=57.52, db=57.52 ]",,,C28H19BrN2O4,FindByFormula,C28 H19 Br N2 O4,51,,526.0503,"(525.0466, 5375.79)(526.0492, 1207.01)",5.910002
C38H68O5,1,1,1,1,1,1,1,1,1,1,1,1,23692,1,1,1,1,1,1,1,27371,1,19884,30423,1,1,32854,32539,28420,23776,1,1,41724,16458,18306,15858,20908,1,21423,1,23583,33265,17630,60049,28589,1,18564,36367,26236,25807,19072,,"C38H68O5 [ C38 H68 O5, tgt=, overall=45.31, db=45.31 ]",,,C38H68O5,FindByFormula,C38 H68 O5,51,,604.5124,"(603.5044, 2774.0)(604.5073, 1183.94)",11.463005
C21H28NO 9.924995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35672,39996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24689,57685,1,1,1,1,,"C21H28NO [ C21 H28 N O, tgt=, overall=82.30, db=82.30 ]",,,C21H28NO 9.924995,FindByFormula,C21 H28 N O,51,,310.2181,"(309.2096, 5118.44)(310.2129, 968.78)",9.924995
646.5212@11.946003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46296,54811,42013,1,1,29257,1,1,1,62561,1,27449,1,1,1,1,35443,27134,1,1,1,64480,1,1,,,,,646.5212@11.946003,FindByFormula,,51,,646.5212,"(645.5254, 3938.83)(646.526, 2073.1)",11.946003
C25H50N2O3 12.786006,1,1,1,50199,31616,65504,38382,34466,36301,35692,32365,44107,73261,51272,36560,52087,39743,31648,18705,1,46009,24334,27183,66213,18926,35169,26148,254269,382998,269723,1,1,396388,152271,57465,63058,412062,140966,478467,1,1,81643,114785,420167,124518,1,1,1,46333,27890,53596,,"C25H50N2O3 [ C25 H50 N2 O3, tgt=, overall=45.63, db=45.63 ]",,,C25H50N2O3 12.786006,FindByFormula,C25 H50 N2 O3,51,,426.3741,"(425.3695, 50556.95)(426.3727, 13241.61)",12.786006
C17H34O4S 9.796998,1,1,1,1,1,62990,1,1,1,1,1,1,187228,68047,129531,71355,1,73999,1,1,1,1,1,1,1,1,1,150398,112316,56926,1,1,1,1,1,1,1,1,1,95079,126278,146208,117884,134620,138598,1,279119,94336,239646,176162,68333,,"C17H34O4S [ C17 H34 O4 S, tgt=, overall=71.29, db=71.29 ]",,,C17H34O4S 9.796998,FindByFormula,C17 H34 O4 S,51,,334.2206,"(333.2096, 10369.99)(334.213, 2298.56)",9.796998
C28H32N2O,1,1,1,39853,34836,37635,36125,20781,34970,29466,28645,30503,26569,34396,30976,23434,31370,22312,30014,1,32542,18877,21895,19982,26816,22721,25783,1,15382,39315,1,16778,25624,38573,44725,29274,26695,35573,29502,24581,27942,28049,25053,20810,24262,18108,1,17247,20583,28172,23002,,"C28H32N2O [ C28 H32 N2 O, tgt=, overall=75.92, db=75.92 ]",,,C28H32N2O,FindByFormula,C28 H32 N2 O,51,,412.2512,"(411.2431, 3563.61)(412.2462, 895.43)",8.708005
C21H38O7 10.2780075,1,1,1,48683,44051,55706,52267,1,60353,37721,1,37790,33990,1,1,1,80343,52011,36269,1,47992,39951,52823,50385,1,58354,1,115534,128886,1,1,138105,1,1,1,62286,1,1,1,41755,56619,103503,100222,120617,107690,86461,81807,147994,102455,71254,46389,,"C21H38O7 [ C21 H38 O7, tgt=, overall=72.39, db=72.39 ]",,,C21H38O7 10.2780075,FindByFormula,C21 H38 O7,51,,402.2674,"(401.2566, 6556.36)(402.26, 1574.78)",10.2780075
C10H8O7S,1,1,1,25500,21200,21595,19582,16059,20651,19237,13867,16028,1,1,18468,1,21959,18533,21404,1,21395,14738,25254,1,21228,18485,19124,32941,33363,16742,1,32062,1,26201,15910,28223,1,17738,1,34327,36240,29636,29536,27536,20714,32982,24659,32468,20424,28248,39770,,"C10H8O7S [ C10 H8 O7 S, tgt=, overall=64.85, db=64.85 ]",,,C10H8O7S,FindByFormula,C10 H8 O7 S,51,,272.0042,"(270.9923, 4695.33)(271.994, 909.93)",1.4049995
800.2669@10.242002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45731,1,1,43828,1,1,1,53281,1,54338,1,1,1,1,1,1,1,1,1,1,1,1,,,,,800.2669@10.242002,FindByFormula,,51,,800.2669,"(799.2619, 1913.07)(800.2652, 726.27)",10.242002
C18H13Cl2NO,1,1,1,1,1,29011,28972,22005,30025,29142,26404,1,1,25809,1,1,35760,1,31908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C18H13Cl2NO [ C18 H13 Cl2 N O, tgt=, overall=58.63, db=58.63 ]",,,C18H13Cl2NO,FindByFormula,C18 H13 Cl2 N O,28,,329.0352,"(328.0299, 2844.72)(329.0326, 1020.19)",6.862
671.9404@0.84799963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9856,20056,1,17172,39706,1,1,1,33615,23014,33040,1,1,1,1,1,1,1,1,1,1,1,1,,,,,671.9404@0.84799963,FindByFormula,,51,,671.9404,"(670.9326, 5509.06)(671.936, 755.1)",0.84799963
784.9825@1.2089998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27469,28280,36085,1,29581,37555,26095,15813,16052,38507,33952,36126,20324,18914,16145,22017,21613,23443,12911,21472,1,17639,18697,13185,,,,,784.9825@1.2089998,FindByFormula,,51,,784.9825,"(783.9787, 5354.82)(784.9817, 979.48)",1.2089998
C51H48O15,1,1,1,41547,39574,42010,40254,35173,39626,42022,39032,39656,38460,38958,36434,23128,42693,37996,41889,35475,43769,41606,42569,44613,38500,39029,37760,35897,37154,22202,1,39230,12092,15115,18940,35720,19808,23339,15568,31803,36080,38122,34493,38401,38045,38575,38193,44916,40804,41494,1,,"C51H48O15 [ C51 H48 O15, tgt=, overall=21.51, db=21.51 ]",,,C51H48O15,FindByFormula,C51 H48 O15,51,,900.2857,"(899.2819, 2916.78)(900.2851, 1266.77)",6.884002
C22H31N3O6S,1,1,1,23070,1,24641,23256,1,20151,19970,16456,20672,30185,34213,19040,34031,32783,29276,22135,1,23170,25939,33938,29950,20527,28004,28536,117901,173677,57677,1,1,191883,105341,54390,55635,237012,102814,218133,1,1,96886,169250,57919,70864,1,32963,1,34209,50213,57111,,"C22H31N3O6S [ C22 H31 N3 O6 S, tgt=, overall=57.15, db=57.15 ]",,,C22H31N3O6S,FindByFormula,C22 H31 N3 O6 S,51,,465.199,"(464.1878, 3292.97)(465.1898, 1297.03)",12.543006
C14H14O5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29579,39810,36205,1,1,1,1,26754,1,,"C14H14O5 [ C14 H14 O5, tgt=, overall=84.42, db=84.42 ]",,,C14H14O5,FindByFormula,C14 H14 O5,51,,262.0841,"(261.0773, 4345.17)(262.0799, 595.59)",10.005003
C12H13F3O4 6.806,1,1,1,57428,1,56890,54221,71589,59166,53614,60983,1,13175,63143,16680,1,43910,59227,46315,65528,44683,59131,14304,57879,63167,54895,62918,54488,42570,1,203481,36534,288767,300278,293536,49815,1,1,303120,22829,21623,36919,38197,41924,27576,53370,30433,44271,20714,23645,243355,,"C12H13F3O4 [ C12 H13 F3 O4, tgt=, overall=85.85, db=85.85 ]",,,C12H13F3O4 6.806,FindByFormula,C12 H13 F3 O4,51,,278.0768,"(555.1516, 1063.03)(277.0695, 20082.8)(278.073, 2240.36)",6.806
C12H7N5,1,1,1,1,1,1,1,1,1,1,1,19010,1,20704,15254,1,1,1,20742,1,16000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20237,22198,42110,1,1,1,1,15899,1,22621,1,1,,"C12H7N5 [ C12 H7 N5, tgt=, overall=82.96, db=82.96 ]",,,C12H7N5,FindByFormula,C12 H7 N5,51,,221.07,"(220.063, 4024.84)(221.0663, 448.69)",4.1569986
C21H17O8P,1,1,1,38454,33800,38689,39791,31953,37254,36600,36399,36290,37386,35456,34176,33283,43109,40147,43096,33014,41624,40078,40040,42442,34912,35893,32613,24062,25348,18510,1,32140,1,17172,18807,36125,1,18143,1,32438,37519,34031,37043,35905,38679,37193,32910,34289,32866,35651,1,,"C21H17O8P [ C21 H17 O8 P, tgt=, overall=75.29, db=75.29 ]",,,C21H17O8P,FindByFormula,C21 H17 O8 P,51,,428.0709,"(427.059, 3489.84)(428.0625, 541.05)",7.821005
C17H30O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52770,78939,1,1,1,1,1,1,1,1,1,1,1,1,48663,1,87497,1,1,64394,1,72348,1,1,,"C17H30O4 [ C17 H30 O4, tgt=, overall=84.52, db=84.52 ]",,,C17H30O4,FindByFormula,C17 H30 O4,51,,298.2178,"(297.2078, 2555.33)(298.2111, 468.07)",10.942996
C12H17N5,1,1,1,25697,25110,22657,24223,1,25219,27390,20892,31722,1,1,18129,1,29459,16610,26010,1,27343,21922,28944,20368,18831,1,18728,1,27696,1,1,41066,1,1,1,25896,1,1,1,24660,31690,35388,29886,32840,31369,35712,25758,41108,18442,20457,1,,"C12H17N5 [ C12 H17 N5, tgt=, overall=85.99, db=85.99 ]",,,C12H17N5,FindByFormula,C12 H17 N5,51,,231.1495,"(230.1411, 4448.41)(231.1441, 560.98)",5.733001
C24H32N9O7 10.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20101,1,14875,10744,1,1,34455,15584,1,1,,"C24H32N9O7 [ C24 H32 N9 O7, tgt=, overall=47.76, db=47.76 ]",,,C24H32N9O7 10.03,FindByFormula,C24 H32 N9 O7,51,,558.2538,"(557.2398, 4793.83)(558.2431, 1473.31)",10.03
C23H46NO7P 12.1310005,1,1,1,147495,126904,59804,84534,83565,102499,29746,19757,45218,22254,18291,28416,83635,45907,47374,110188,51445,119304,1,112737,66387,59915,1,79610,1,42603,100277,59511,112224,77582,42741,29189,40796,81774,84945,67930,46025,48084,52437,110130,89356,42425,49579,38581,55427,96443,26334,46366,,"C23H46NO7P [ C23 H46 N O7 P, tgt=, overall=72.93, db=72.93 ]",,,C23H46NO7P 12.1310005,FindByFormula,C23 H46 N O7 P,50,,479.3087,"(478.2958, 13803.99)(479.2998, 3709.21)",12.1310005
C26H30O2,1,1,1,67545,59617,79708,77083,48787,82353,66465,53604,67571,66863,56997,46410,53815,28457,33962,68408,46395,83407,66430,26647,83933,47396,24181,42977,46520,85681,1,36502,155792,18437,1,36684,98336,1,1,1,61488,83601,138725,119288,140314,124625,134603,125729,198951,100876,89716,46213,,"C26H30O2 [ C26 H30 O2, tgt=, overall=57.85, db=57.85 ]",,,C26H30O2,FindByFormula,C26 H30 O2,51,,374.2358,"(373.2212, 6593.84)(374.2169, 2265.99)",9.548003
C17H18N2O10,1,1,1,26855,23532,32520,1,1,1,18523,1,18506,1,1,1,1,1,1,1,1,1,16369,19963,20864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20126,24138,1,1,1,29223,24689,39658,33279,35537,33752,,"C17H18N2O10 [ C17 H18 N2 O10, tgt=, overall=79.90, db=79.90 ]",,,C17H18N2O10,FindByFormula,C17 H18 N2 O10,51,,410.0965,"(409.0877, 3795.79)(410.0909, 681.35)",9.989006
C16H13I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26727,26796,41438,1,1,1,,"C16H13I [ C16 H13 I, tgt=, overall=82.88, db=82.88 ]",,,C16H13I,FindByFormula,C16 H13 I,51,,332.0087,"(330.9998, 3409.47)(332.0041, 548.4)",7.0809965
C20H16Cl2N2O3S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12156,36909,38947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28895,28475,33164,1,1,1,,"C20H16Cl2N2O3S [ C20 H16 Cl2 N2 O3 S, tgt=, overall=59.13, db=59.13 ]",,,C20H16Cl2N2O3S,FindByFormula,C20 H16 Cl2 N2 O3 S,51,,434.0246,"(433.0183, 4237.18)(434.0219, 790.1)",5.911
C36H58N10O10,1,1,1,1,1,1,1,1,1,1,1,1,12061,12835,1,19988,15758,18778,1,1,16043,1,13998,24302,12254,18813,15828,12131,1,1,1,1,23698,20692,16474,15364,24664,24172,19473,1,1,21929,15914,1,15105,1,1,1,1,30183,33421,,"C36H58N10O10 [ C36 H58 N10 O10, tgt=, overall=48.11, db=48.11 ]",,,C36H58N10O10,FindByFormula,C36 H58 N10 O10,51,,790.4602,"(789.4291, 3059.46)(790.4375, 1655.7)(791.4432, 629.95)",12.1849985
C29H45O4P 10.333992,1,1,1,55557,46852,69126,74120,46545,85127,59942,45934,64357,60503,40382,42979,43233,87455,70970,57491,32824,30647,54601,75089,72904,33754,59038,48148,126002,204182,31133,1,255970,22764,1,40928,132229,1,50294,22816,84492,113537,185324,157399,18063,179375,137285,155293,32446,142682,141943,83635,,"C29H45O4P [ C29 H45 O4 P, tgt=, overall=61.02, db=61.02 ]",,,C29H45O4P 10.333992,FindByFormula,C29 H45 O4 P,51,,488.3012,"(487.2949, 12089.89)(488.2982, 3474.7)",10.333992
C8H6F6O,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16911,1,1,1,17902,1,19134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28768,1,40738,22044,1,1,,"C8H6F6O [ C8 H6 F6 O, tgt=, overall=82.41, db=82.41 ]",,,C8H6F6O,FindByFormula,C8 H6 F6 O,51,,232.0318,"(231.0247, 4324.89)(232.0282, 554.05)",7.6659946
C21H28N4O4 8.890006,1,1,1,18104,26131,20220,27062,1,36308,1,1,20127,1,1,1,1,41891,25710,1,1,22254,1,21738,1,1,15750,1,256980,424143,1,1,153630,1,1,1,1,1,1,1,1,44230,190281,114261,137040,230398,24868,259969,40527,184765,59148,29962,,"C21H28N4O4 [ C21 H28 N4 O4, tgt=, overall=82.05, db=82.05 ]",,,C21H28N4O4 8.890006,FindByFormula,C21 H28 N4 O4,51,,400.2126,"(399.2043, 35772.84)(400.2077, 7644.83)",8.890006
935.6814@13.534996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22977,35185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,935.6814@13.534996,FindByFormula,,49,,935.6814,"(934.6526, 3099.97)(935.6568, 1771.16)(936.6594, 777.28)",13.534996
C23H18ClF2N3O3S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33543,43275,43465,1,46332,41856,20667,9988,13381,37893,41513,37869,21131,20377,14438,22558,22968,17446,9708,1,1,1,12831,9691,,"C23H18ClF2N3O3S [ C23 H18 Cl F2 N3 O3 S, tgt=, overall=49.80, db=49.80 ]",,,C23H18ClF2N3O3S,FindByFormula,C23 H18 Cl F2 N3 O3 S,51,,489.0718,"(488.0631, 5751.85)(489.0679, 868.31)",1.2700003
C37H56N4O8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30298,52405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18348,1,1,1,1,,"C37H56N4O8 [ C37 H56 N4 O8, tgt=, overall=64.32, db=64.32 ]",,,C37H56N4O8,FindByFormula,C37 H56 N4 O8,51,,684.4119,"(683.3999, 2096.71)(684.4045, 792.78)",8.798003
C30H34N4O8,1,1,1,1,24525,1,26169,1,31598,1,1,1,1,1,1,1,38500,26283,1,1,1,1,1,1,1,33177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23173,37959,1,1,1,,"C30H34N4O8 [ C30 H34 N4 O8, tgt=, overall=70.25, db=70.25 ]",,,C30H34N4O8,FindByFormula,C30 H34 N4 O8,51,,578.2344,"(577.232, 2476.85)(578.2355, 680.98)",9.842995
503.3055@11.961999,1,1,1,91269,89827,31009,51370,24894,62245,1,1,28789,1,1,1,1,55815,1,74641,36958,78477,1,73816,1,32630,1,48454,1,1,88616,1,37970,79517,48938,30871,44885,88416,60789,104336,45469,45731,57130,32645,80282,60126,1,1,1,66317,1,1,,,,,503.3055@11.961999,FindByFormula,,51,,503.3055,"(502.292, 7057.44)(503.2956, 1151.6)",11.961999
766.4564@12.212003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24240,1,25836,17231,1,1,1,1,29570,1,29198,23884,1,1,1,1,1,1,1,1,1,1,1,1,1,14631,20226,1,1,16589,1,1,15892,22764,38026,44696,,,,,766.4564@12.212003,FindByFormula,,38,,766.4564,"(765.4296, 3165.73)(766.4362, 1896.1)(767.4421, 786.01)",12.212003
2199.648@1.1479996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29054,26423,21452,1,28656,19576,25331,16145,23973,37575,32291,32537,20597,19569,14545,26540,30714,20475,8334,1,1,1,1,16425,,,,,2199.648@1.1479996,FindByFormula,,51,,2199.648,"(1098.8181, 6366.16)(1099.3201, 2487.51)(1099.8218, 1467.42)",1.1479996
C21H15ClF3N5O3S 8.298003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24406,28504,37266,1,1,1,1,1,1,1,1,1,,"C21H15ClF3N5O3S [ C21 H15 Cl F3 N5 O3 S, tgt=, overall=21.14, db=21.14 ]",,,C21H15ClF3N5O3S 8.298003,FindByFormula,C21 H15 Cl F3 N5 O3 S,51,,509.0588,"(508.0523, 3587.37)(509.0559, 869.49)",8.298003
C21H19F3N2O3,1,1,1,47219,42897,47103,45152,35276,45658,44102,33116,42679,33436,34184,34200,32750,38453,34273,39924,28615,42060,37969,31376,38518,38362,34681,39753,34701,1,23499,1,24532,1,1,24244,25282,1,1,1,23432,1,1,1,1,1,1,1,37807,1,46064,40806,,"C21H19F3N2O3 [ C21 H19 F3 N2 O3, tgt=, overall=81.81, db=81.81 ]",,,C21H19F3N2O3,FindByFormula,C21 H19 F3 N2 O3,51,,404.1407,"(403.1286, 2678.52)(404.1313, 639.76)",8.756997
851.6116@12.1570015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19665,33018,1,1,18671,23739,15252,1,16799,32894,12087,1,1,14925,1,35869,23392,1,1,1,1,20028,16329,,,,,851.6116@12.1570015,FindByFormula,,51,,851.6116,"(850.6066, 3017.45)(851.6064, 1890.54)(852.6024, 760.2)",12.1570015
C21H36N8O11,1,1,1,22483,22002,24955,25921,1,26780,25510,21215,24887,1,1,1,1,25147,1,1,1,20744,1,22431,1,1,1,1,1,29348,1,1,36849,1,1,1,26634,1,1,1,1,1,29016,24957,29938,26465,1,1,24926,1,1,1,,"C21H36N8O11 [ C21 H36 N8 O11, tgt=, overall=78.38, db=78.38 ]",,,C21H36N8O11,FindByFormula,C21 H36 N8 O11,51,,576.2536,"(575.2428, 2797.9)(576.2465, 772.05)",7.6740017
C32H39ClN4O4S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35670,35824,48760,1,1,1,1,1,1,1,1,1,,"C32H39ClN4O4S [ C32 H39 Cl N4 O4 S, tgt=, overall=56.24, db=56.24 ]",,,C32H39ClN4O4S,FindByFormula,C32 H39 Cl N4 O4 S,51,,610.2386,"(609.2322, 2608.04)(610.2335, 966.48)",8.4140005
C17H22NO3 6.894998,1,1,1,66667,57427,117439,93947,54581,80244,108341,95971,101597,99495,90308,82522,65925,1,1,110992,1,19517,96618,101959,115876,87240,1,67102,73907,24815,1,1,30906,1,1,48348,20390,1,45675,1,101653,120359,157307,23033,169928,158253,24271,118021,26375,109186,146167,16553,,"C17H22NO3 [ C17 H22 N O3, tgt=, overall=80.55, db=80.55 ]",,,C17H22NO3 6.894998,FindByFormula,C17 H22 N O3,51,,288.16,"(287.1532, 9039.23)(288.1567, 1458.54)",6.894998
C40H50O2,1,1,1,1,1,1,1,1,1,28181,22300,28959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29174,1,1,1,33484,1,1,1,27814,34784,45623,1,1,1,15814,1,21704,28301,28536,24499,,"C40H50O2 [ C40 H50 O2, tgt=, overall=48.10, db=48.10 ]",,,C40H50O2,FindByFormula,C40 H50 O2,51,,562.3717,"(561.3692, 2918.23)(562.3732, 1126.9)",8.912997
